ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi
ADALAR,BURGAZADA,40139,433,214,173,802,18,0
ADALAR,HEYBELİADA,40142,836,347,212,1359,36,0
ADALAR,KINALIADA,40143,610,244,158,923,89,0
ADALAR,MADEN,40140,863,510,308,1637,44,0
ADALAR,NİZAM,40141,842,426,217,1434,51,0
ARNAVUTKÖY,ADNAN MENDERES,40490,0,244,121,353,12,0
ARNAVUTKÖY,ANADOLU,99359,0,1360,845,1647,555,3
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,0,685,589,797,470,7
ARNAVUTKÖY,ATATÜRK,40482,0,565,216,754,27,0
ARNAVUTKÖY,BAKLALI,191981,0,332,184,515,1,0
ARNAVUTKÖY,BALABAN,191983,0,242,53,295,0,0
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,40483,90,864,540,1452,42,0
ARNAVUTKÖY,BOLLUCA,40487,0,578,185,716,47,0
ARNAVUTKÖY,BOYALIK,191985,0,313,205,514,4,0
ARNAVUTKÖY,ÇİLİNGİR,40494,0,315,176,485,6,0
ARNAVUTKÖY,DELİKLİKAYA,40910,0,291,279,478,36,56
ARNAVUTKÖY,DURSUNKÖY,40911,0,204,72,276,0,0
ARNAVUTKÖY,DURUSU,40915,0,208,43,251,0,0
ARNAVUTKÖY,FATİH,40495,0,219,198,406,11,0
ARNAVUTKÖY,HACIMAŞLI,191975,1,137,107,244,1,0
ARNAVUTKÖY,HADIMKÖY,40913,0,418,793,909,229,73
ARNAVUTKÖY,HARAÇÇI,40489,0,813,622,1356,79,0
ARNAVUTKÖY,HASTANE,40912,0,434,391,578,237,10
ARNAVUTKÖY,HİCRET,40486,0,221,113,323,11,0
ARNAVUTKÖY,İMRAHOR,40481,0,1141,471,1585,27,0
ARNAVUTKÖY,İSLAMBEY,40479,0,1184,481,1452,204,9
ARNAVUTKÖY,KARABURUN,191987,0,404,710,1110,4,0
ARNAVUTKÖY,KARLIBAYIR,40488,0,669,465,944,183,7
ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK,40493,0,458,450,881,27,0
ARNAVUTKÖY,MAVİGÖL,40485,0,420,520,907,33,0
ARNAVUTKÖY,MEHMET AKİF ERSOY,40491,0,255,218,465,8,0
ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,99358,0,707,273,843,137,0
ARNAVUTKÖY,NENEHATUN,99357,0,561,223,707,77,0
ARNAVUTKÖY,ÖMERLİ,40906,0,273,329,477,83,42
ARNAVUTKÖY,SAZLIBOSNA,40907,0,338,55,393,0,0
ARNAVUTKÖY,TAŞOLUK,40492,0,607,179,750,36,0
ARNAVUTKÖY,TAYAKADIN,191977,0,817,487,1301,3,0
ARNAVUTKÖY,TERKOS,40914,0,428,132,560,0,0
ARNAVUTKÖY,YASSIÖREN,191989,0,0,342,316,24,2
ARNAVUTKÖY,YAVUZ SELİM,40480,0,968,204,1113,58,1
ARNAVUTKÖY,YENİKÖY,191979,0,190,836,1026,0,0
ARNAVUTKÖY,YEŞİLBAYIR,40908,0,172,208,357,23,0
ARNAVUTKÖY,YUNUS EMRE,40484,5,1168,327,1421,78,1
ATAŞEHİR,AŞIKVEYSEL,98687,792,181,199,886,266,20
ATAŞEHİR,ATATÜRK,99749,49,386,416,455,234,162
ATAŞEHİR,BARBAROS,40527,571,725,596,1585,205,102
ATAŞEHİR,ESATPAŞA,40793,997,396,733,1474,597,55
ATAŞEHİR,FERHATPAŞA,40577,4,845,1135,1370,599,15
ATAŞEHİR,FETIH,40795,55,339,160,265,262,27
ATAŞEHİR,İÇERENKÖY,40530,1610,1809,1203,2950,1302,370
ATAŞEHİR,İNÖNÜ,40534,89,445,887,504,898,19
ATAŞEHİR,KAYIŞDAĞI,40533,311,1394,1273,2245,723,10
ATAŞEHİR,KÜÇÜKBAKKALKÖY,40531,478,292,957,850,611,266
ATAŞEHİR,MEVLANA,99516,32,723,135,617,221,52
ATAŞEHİR,MİMAR SİNAN,99519,51,722,135,771,135,2
ATAŞEHİR,MUSTAFA KEMAL,40740,914,374,164,1170,282,0
ATAŞEHİR,ÖRNEK,40816,760,367,732,1166,667,26
ATAŞEHİR,YENİ ÇAMLICA,40746,184,793,350,1192,109,26
ATAŞEHİR,YENİSAHRA,40526,782,378,264,1216,207,1
ATAŞEHİR,YENİŞEHİR,99517,56,128,212,58,225,113
AVCILAR,AMBARLI,40146,354,941,323,561,1009,48
AVCILAR,CİHANGİR,40148,282,1376,1391,1324,1694,31
AVCILAR,DENİZKÖŞKLER,40147,379,1370,402,725,1387,39
AVCILAR,FİRUZKÖY,40152,586,1598,927,2703,397,11
AVCILAR,GÜMÜŞPALA,40151,303,1111,475,617,1253,19
AVCILAR,MERKEZ,40145,371,552,185,189,848,71
AVCILAR,MUSTAFA KEMALPAŞA,40150,258,973,717,498,1443,7
AVCILAR,TAHTAKALE,40154,4,1549,958,1956,339,216
AVCILAR,ÜNİVERSİTE,40149,59,574,626,578,655,26
AVCILAR,YEŞİLKENT,40153,0,4243,3875,7362,735,21
BAĞCILAR,100. YIL,40176,195,2175,436,1233,1555,18
BAĞCILAR,BAĞLAR,40155,239,677,356,771,462,39
BAĞCILAR,BARBAROS,40157,298,487,359,364,776,4
BAĞCILAR,ÇINAR,40163,469,1045,228,424,1304,14
BAĞCILAR,DEMİRKAPI,40171,250,1835,504,987,1554,48
BAĞCILAR,EVREN,40169,229,2099,832,1291,1840,29
BAĞCILAR,FATİH,40172,214,1996,288,975,1520,3
BAĞCILAR,FEVZİ ÇAKMAK,40173,333,1044,370,576,1142,29
BAĞCILAR,GÖZTEPE,40175,135,1714,257,1085,989,32
BAĞCILAR,GÜNEŞLİ,40168,213,1642,555,852,1503,55
BAĞCILAR,HÜRRİYET,40156,449,644,391,602,856,26
BAĞCILAR,İNÖNÜ,40159,320,825,217,564,793,5
BAĞCILAR,KAZIM KARABEKİR,40158,352,749,432,539,992,2
BAĞCILAR,KEMALPAŞA,40174,259,1457,267,843,1138,2
BAĞCILAR,KİRAZLI,40166,263,1572,457,925,1333,34
BAĞCILAR,MAHMUTBEY,40170,266,3585,434,3428,802,55
BAĞCILAR,MERKEZ,40162,180,621,243,305,722,17
BAĞCILAR,SANCAKTEPE,40164,229,657,170,363,688,5
BAĞCILAR,YAVUZ SELİM,40165,239,901,311,536,897,18
BAĞCILAR,YENİGÜN,40161,246,519,112,169,707,1
BAĞCILAR,YENİMAHALLE,40167,137,1236,247,619,953,48
BAĞCILAR,YILDIZTEPE,40160,557,1066,355,697,1260,21
BAHÇELİEVLER,BAHÇELİEVLER,40177,728,878,359,835,1014,116
BAHÇELİEVLER,CUMHURİYET,40181,196,1136,271,310,1285,8
BAHÇELİEVLER,ÇOBANÇEŞME,40184,108,1539,230,649,1216,12
BAHÇELİEVLER,FEVZİ ÇAKMAK,40185,145,881,78,184,917,3
BAHÇELİEVLER,HÜRRİYET,40187,107,1491,129,185,1517,25
BAHÇELİEVLER,KOCASİNAN MERKEZ,40182,152,1623,848,815,1785,23
BAHÇELİEVLER,SİYAVUŞPAŞA,40179,793,1308,58,111,2034,14
BAHÇELİEVLER,SOĞANLI,40180,476,1745,166,143,2234,10
BAHÇELİEVLER,ŞİRİNEVLER,40178,577,1434,230,299,1910,32
BAHÇELİEVLER,YENİBOSNA MERKEZ,40183,365,1263,567,1234,897,64
BAHÇELİEVLER,ZAFER,40186,245,2185,965,599,2789,7
BAKIRKÖY,ATAKÖY 1. KISIM,40202,61,7,27,39,42,14
BAKIRKÖY,ATAKÖY 2-5-6. KISIM,40194,123,8,93,108,74,42
BAKIRKÖY,ATAKÖY 3-4-11. KISIM,40201,156,93,11,82,170,8
BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,40196,3,426,107,239,226,71
BAKIRKÖY,BASINKÖY,40200,184,358,108,614,36,0
BAKIRKÖY,CEVİZLİK,40192,332,259,110,198,501,2
BAKIRKÖY,KARTALTEPE,40197,775,641,57,414,1056,3
BAKIRKÖY,OSMANİYE,40188,339,363,290,512,470,10
BAKIRKÖY,SAKIZAĞACI,40191,300,143,29,77,385,10
BAKIRKÖY,ŞENLİKKÖY,40199,357,1134,320,1644,166,1
BAKIRKÖY,YENİMAHALLE,40190,319,126,48,134,359,0
BAKIRKÖY,YEŞİLKÖY,40189,894,848,590,1755,554,23
BAKIRKÖY,YEŞİLYURT,40195,179,97,32,134,173,1
BAKIRKÖY,ZEYTİNLİK,40193,203,270,101,143,430,1
BAKIRKÖY,ZUHURATBABA,40198,644,319,66,279,746,4
BAŞAKŞEHİR,ALTINŞEHİR,40598,96,968,332,1256,140,0
BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,40871,0,699,1478,1837,176,164
BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,40872,1,1130,1664,2101,141,553
BAŞAKŞEHİR,BAŞAK,40357,1,644,793,792,208,438
BAŞAKŞEHİR,BAŞAKŞEHİR,40581,0,136,658,187,208,399
BAŞAKŞEHİR,GÜVERCİNTEPE,40597,110,3440,903,3784,640,29
BAŞAKŞEHİR,KAYABAŞI,40583,206,425,969,872,121,607
BAŞAKŞEHİR,ŞAHİNTEPE,40584,95,3785,959,4624,202,13
BAŞAKŞEHİR,ŞAMLAR,191991,9,347,103,440,19,0
BAŞAKŞEHİR,ZİYA GÖKALP,40585,296,2046,3498,5283,474,83
BAYRAMPAŞA,ALTINTEPSİ,40207,679,1206,353,1073,1161,4
BAYRAMPAŞA,CEVATPAŞA,40203,351,733,116,648,552,0
BAYRAMPAŞA,İSMET PAŞA,40209,555,489,166,568,611,31
BAYRAMPAŞA,KARTALTEPE,40211,1256,1408,257,1286,1631,4
BAYRAMPAŞA,KOCATEPE,40212,235,784,218,509,702,26
BAYRAMPAŞA,MURATPAŞA,40213,1285,1342,212,1551,1287,1
BAYRAMPAŞA,ORTAMAHALLE,40204,635,763,132,870,659,1
BAYRAMPAŞA,TERAZİDERE,40206,532,834,114,771,709,0
BAYRAMPAŞA,VATAN,40205,541,398,142,712,368,1
BAYRAMPAŞA,YENİDOĞAN,40208,687,762,154,804,793,6
BAYRAMPAŞA,YILDIRIM,40210,1539,1521,553,1865,1745,3
BEŞİKTAŞ,ABBASAĞA,40219,217,169,101,166,319,2
BEŞİKTAŞ,AKAT,40234,398,597,291,954,294,38
BEŞİKTAŞ,ARNAVUTKÖY,40231,611,295,196,997,105,0
BEŞİKTAŞ,BALMUMCU,40223,145,144,61,289,48,13
BEŞİKTAŞ,BEBEK,40232,477,266,170,743,169,1
BEŞİKTAŞ,CİHANNÜMA,40217,209,141,88,173,260,5
BEŞİKTAŞ,DİKİLİTAŞ,40221,288,243,170,113,529,59
BEŞİKTAŞ,ETİLER,40233,438,189,173,524,261,15
BEŞİKTAŞ,GAYRETTEPE,40222,227,169,111,137,239,131
BEŞİKTAŞ,KONAKLAR,40236,217,231,181,278,319,32
BEŞİKTAŞ,KURUÇEŞME,40228,437,147,132,667,49,0
BEŞİKTAŞ,KÜLTÜR,40229,172,141,117,286,138,6
BEŞİKTAŞ,LEVAZIM,40226,38,118,64,59,148,13
BEŞİKTAŞ,LEVENT,40235,798,158,416,1337,24,11
BEŞİKTAŞ,MECİDİYE,40224,546,320,216,673,409,0
BEŞİKTAŞ,MURADİYE,40216,141,139,34,15,293,6
BEŞİKTAŞ,NİSBETİYE,40230,201,271,114,123,426,37
BEŞİKTAŞ,ORTAKÖY,40225,474,273,284,727,303,1
BEŞİKTAŞ,SİNANPAŞA,40215,189,187,147,289,233,1
BEŞİKTAŞ,TÜRKALİ,40218,395,212,102,190,512,7
BEŞİKTAŞ,ULUS,40227,130,288,72,256,234,0
BEŞİKTAŞ,VİŞNEZADE,40214,254,273,146,338,317,18
BEŞİKTAŞ,YILDIZ,40220,270,224,184,375,295,8
BEYKOZ,ACARLAR,40250,3,1846,391,1977,262,1
BEYKOZ,AKBABA,191701,298,210,188,682,14,0
BEYKOZ,ALİBAHADIR,191703,22,151,130,302,1,0
BEYKOZ,ANADOLU FENERİ,191705,42,73,301,414,2,0
BEYKOZ,ANADOLU HİSARI,40243,362,163,138,619,44,0
BEYKOZ,ANADOLU KAVAĞI,40256,93,163,153,402,7,0
BEYKOZ,BAKLACI,40257,21,0,1024,1034,11,0
BEYKOZ,BOZHANE,191725,47,82,149,278,0,0
BEYKOZ,CUMHURİYET,191727,205,194,283,679,3,0
BEYKOZ,ÇAMLIBAHÇE,40253,699,255,115,1042,27,0
BEYKOZ,ÇENGELDERE,40258,26,3,1161,1159,31,0
BEYKOZ,ÇİFTLİK,40259,31,0,1074,1079,26,0
BEYKOZ,ÇİĞDEM,40240,962,752,177,1793,98,0
BEYKOZ,ÇUBUKLU,40241,1414,1493,428,3110,224,1
BEYKOZ,DERESEKİ,191709,130,222,370,718,4,0
BEYKOZ,ELMALI,191711,92,501,310,880,23,0
BEYKOZ,FATİH,40260,17,0,602,583,36,0
BEYKOZ,GÖKSU,40244,354,126,125,580,25,0
BEYKOZ,GÖLLÜ,191729,20,36,91,147,0,0
BEYKOZ,GÖRELE,191713,30,412,213,650,5,0
BEYKOZ,GÖZTEPE,40246,189,294,557,904,135,1
BEYKOZ,GÜMÜŞSUYU,40237,1354,1211,586,3087,64,0
BEYKOZ,İNCİRKÖY,40238,2043,775,419,3124,113,0
BEYKOZ,İSHAKLI,191731,64,213,379,655,1,0
BEYKOZ,KANLICA,40242,387,206,150,658,84,1
BEYKOZ,KAVACIK,40247,959,667,363,1296,606,87
BEYKOZ,KAYNARCA,191715,3,124,91,218,0,0
BEYKOZ,KILIÇLI,191733,0,39,293,331,1,0
BEYKOZ,MAHMUTŞEVKETPAŞA,191723,213,254,267,727,7,0
BEYKOZ,MERKEZ,40251,712,291,209,1147,64,1
BEYKOZ,ORTAÇEŞME,40254,594,705,249,1517,31,0
BEYKOZ,ÖĞÜMCE,191735,81,161,110,352,0,0
BEYKOZ,ÖRNEKKÖY,191721,20,676,358,1044,10,0
BEYKOZ,PAŞABAHÇE,40239,474,166,101,694,47,0
BEYKOZ,PAŞAMANDIRA,191737,50,269,240,559,0,0
BEYKOZ,POLONEZKÖY,191717,105,155,212,469,3,0
BEYKOZ,POYRAZKÖY,16634,89,12,205,300,6,0
BEYKOZ,RİVA,191707,8,64,1305,1367,9,1
BEYKOZ,RÜZGARLIBAHÇE,40248,536,826,342,1618,58,28
BEYKOZ,SOĞUKSU,40249,378,925,259,1470,92,0
BEYKOZ,TOKATKÖY,40255,995,1366,411,2688,84,0
BEYKOZ,YALIKÖY,40252,740,346,242,1295,33,0
BEYKOZ,YAVUZ SELİM,40261,30,18,1363,1392,19,0
BEYKOZ,YENİ MAHALLE,40245,1046,1750,648,3366,78,0
BEYKOZ,ZERZAVATÇI,191739,43,157,86,284,2,0
BEYLİKDÜZÜ,ADNAN KAHVECİ,40869,0,505,1113,583,490,545
BEYLİKDÜZÜ,BARIŞ,40875,0,303,499,368,56,378
BEYLİKDÜZÜ,BÜYÜKŞEHİR,40877,0,107,132,51,15,173
BEYLİKDÜZÜ,CUMHURİYET,40874,0,224,126,91,14,245
BEYLİKDÜZÜ,DEREAĞZI,40870,0,1134,1027,1960,192,9
BEYLİKDÜZÜ,GÜRPINAR,40867,0,953,510,1220,191,52
BEYLİKDÜZÜ,KAVAKLI,40873,0,624,920,997,421,126
BEYLİKDÜZÜ,MARMARA,40893,4,336,657,722,89,186
BEYLİKDÜZÜ,SAHİL,40876,0,369,277,540,84,22
BEYLİKDÜZÜ,YAKUPLU,40894,37,1666,1230,1522,1369,42
BEYOĞLU,ARAP CAMİ,40299,347,139,2,332,125,31
BEYOĞLU,ASMALI MESCİT,40281,156,107,77,47,276,17
BEYOĞLU,BEDRETTİN,40300,199,46,6,231,20,0
BEYOĞLU,BEREKETZADE,40298,163,124,11,95,193,10
BEYOĞLU,BOSTAN,40291,317,112,8,324,112,1
BEYOĞLU,BÜLBÜL,40292,510,216,16,575,166,1
BEYOĞLU,CAMİİKEBİR,40301,458,204,8,489,179,2
BEYOĞLU,CİHANGİR,40275,237,157,83,113,349,15
BEYOĞLU,ÇATMA MESCİT,40283,174,92,1,135,124,8
BEYOĞLU,ÇUKUR,40293,331,56,7,243,144,7
BEYOĞLU,EMEKYEMEZ,40269,169,156,14,144,181,14
BEYOĞLU,EVLİYA ÇELEBİ,40282,80,23,6,24,72,13
BEYOĞLU,FETİHTEPE,40262,1188,330,135,1164,487,2
BEYOĞLU,FİRUZAĞA,40276,337,126,58,260,260,1
BEYOĞLU,GÜMÜŞSUYU,40278,225,119,28,116,223,33
BEYOĞLU,HACIAHMET,40280,522,502,60,629,446,9
BEYOĞLU,HACIMİMİ,40285,215,116,22,188,159,6
BEYOĞLU,HALICIOĞLU,40304,336,214,91,229,407,5
BEYOĞLU,HÜSEYİNAĞA,40272,169,74,44,76,204,7
BEYOĞLU,İSTİKLAL,40279,826,242,83,1107,30,14
BEYOĞLU,KADI MEHMET EFENDİ,40267,254,171,102,178,347,2
BEYOĞLU,KALYONCU KULLUĞU,40270,331,79,8,217,200,1
BEYOĞLU,KAMER HATUN,40271,202,37,9,132,113,3
BEYOĞLU,KAPTANPAŞA,40264,578,520,202,764,535,1
BEYOĞLU,KATİPMUSTAFA ÇELEBİ,40274,177,95,93,93,265,7
BEYOĞLU,KEÇECİ PİRİ,40302,879,521,86,1071,415,0
BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA,40297,232,82,0,128,184,2
BEYOĞLU,KILIÇALİ PAŞA,40296,221,104,15,116,202,22
BEYOĞLU,KOCATEPE,40277,364,170,50,255,276,53
BEYOĞLU,KULAKSIZ,40266,279,181,35,217,277,1
BEYOĞLU,KULOĞLU,40288,243,106,49,117,279,2
BEYOĞLU,KÜÇÜK PİYALE,40268,325,240,48,343,266,4
BEYOĞLU,MÜEYYETZADE,40286,150,120,19,138,144,7
BEYOĞLU,ÖMER AVNİ,40294,230,92,6,98,224,6
BEYOĞLU,ÖRNEKTEPE,40305,775,192,218,936,236,13
BEYOĞLU,PİRİPAŞA,40303,882,417,136,1060,374,1
BEYOĞLU,PİYALEPAŞA,40263,1554,570,12,1381,755,0
BEYOĞLU,PÜRTELAŞ HASAN EFENDİ,40295,159,101,20,98,170,12
BEYOĞLU,SURURİ MEHMET EFENDİ,40289,365,105,5,359,114,2
BEYOĞLU,SÜTLÜCE,40306,417,160,213,433,348,9
BEYOĞLU,ŞAHKULU,40284,202,87,56,130,211,4
BEYOĞLU,ŞEHİT MUHTAR,40273,420,143,40,227,354,22
BEYOĞLU,TOMTOM,40287,260,107,53,186,227,7
BEYOĞLU,YAHYA KAHYA,40290,311,114,7,308,124,0
